,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,p_change_t1
462,2015/2/9,2319.241,2392.822,2366.766,2311.799,739033.81,41.525,1.79,2363.829,2400.748,2469.145,842707.51,866926.02,1017841.01,1.55
461,2015/2/10,2363.159,2409.024,2403.548,2355.136,688620.31,36.782,1.55,2363.386,2388.893,2462.931,815882.26,819245.17,1013732.49,0.48
460,2015/2/11,2408.079,2423.348,2415.128,2395.195,505389.84,11.58,0.48,2371.921,2381.777,2456.976,761897.52,783427.78,996940.83,0.06
459,2015/2/12,2415.139,2425.635,2416.449,2384.493,606623.56,1.321,0.06,2385.426,2379.218,2446.153,661795.73,762685.17,971310.42,0.46
458,2015/2/13,2426.953,2464.076,2427.474,2415.425,837934.81,11.025,0.46,2405.873,2381.428,2434.875,675520.47,769887.5,945731.58,0.15
457,2015/2/16,2427.168,2437.843,2431.21,2413.604,626081.19,3.736,0.15,2418.762,2391.295,2435.926,652929.94,747818.73,906953.85,0.58
456,2015/2/17,2437.689,2464.524,2445.26,2437.689,600105.75,14.05,0.58,2427.104,2395.245,2438.003,635227.03,725554.64,868220.82,-1.55
455,2015/2/25,2448.199,2448.199,2407.457,2395.527,639873.81,-37.803,-1.55,2425.57,2398.745,2431.26,662123.82,712010.67,825814.27,2.93
454,2015/2/26,2401.138,2482.443,2478.061,2382.687,947070.62,70.604,2.93,2437.892,2411.659,2427.947,730213.24,696004.48,816313.41,-0.14
453,2015/2/27,2476.486,2498.697,2474.595,2466.827,856519.25,-3.466,-0.14,2447.317,2426.595,2423.451,733930.12,704725.3,796863.7,0.19
452,2015/3/2,2495.571,2498.716,2479.237,2459.421,880525.19,4.642,0.19,2456.922,2437.842,2419.295,784818.92,718874.43,792900.23,-3.33
451,2015/3/3,2462.003,2462.003,2396.805,2395.83,912747.44,-82.432,-3.33,2447.231,2437.168,2413.03,847347.26,741287.15,780266.16,0.05
450,2015/3/4,2403.862,2416.219,2397.993,2378.927,642952.88,1.188,0.05,2445.338,2435.454,2408.616,847963.08,755043.45,769235.61,-1.3
449,2015/3/5,2379.732,2382.892,2366.899,2344.947,777733,-31.094,-1.3,2423.106,2430.499,2404.859,814095.55,772154.39,767419.78,0.2
448,2015/3/6,2370.885,2393.739,2371.623,2366.019,648042.06,4.724,0.2,2402.511,2424.914,2403.171,772400.11,753165.12,761526.31,2.46
447,2015/3/9,2352.223,2443.204,2429.867,2321.265,1061957.12,58.244,2.46,2392.637,2424.78,2408.037,808686.5,796752.71,772285.72,-1.42
446,2015/3/10,2413.837,2424.151,2395.428,2390.604,784355.88,-34.439,-1.42,2392.362,2419.797,2407.521,783008.19,815177.73,770366.19,0.55
445,2015/3/11,2401.261,2444.655,2408.503,2399.54,700741.88,13.075,0.55,2394.464,2419.901,2409.323,794565.99,821264.53,766637.6,3.18
