,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,p_change_t1
335,2015/8/14,13497.164,13606.327,13445.874,13378.591,326795168,50.698,0.38,13316.84,12915.692,12938.376,314776409.6,280448782.4,307388298.4,0.95
334,2015/8/17,13417.326,13585.961,13573.902,13309.538,326809216,128.028,0.95,13371.028,13056.925,12956.951,315522105.6,288755996.8,305820500,-6.56
333,2015/8/18,13608.516,13652.542,12683.855,12634.948,389034912,-890.047,-6.56,13243.182,13054.154,12925.366,322963110.4,301499417.6,309651460,2.18
332,2015/8/19,12328.596,13028.504,12960.659,12049.916,331748544,276.804,2.18,13211.893,13097.751,12902.572,332290060.8,307559193.6,309493440.8,-2.9
331,2015/8/20,12864.835,13040.362,12584.577,12582.244,283755744,-376.082,-2.9,13049.773,13114.024,12844.075,331628716.8,315711851.2,305329053.6,-5.42
330,2015/8/21,12355.274,12511.415,11902.046,11891.839,260160784,-682.531,-5.42,12741.008,13028.924,12763.252,318301840,316539124.8,298294296,-7.83
329,2015/8/24,11399.663,11446.099,10970.29,10964.092,193829360,-931.756,-7.83,12220.285,12795.656,12687.114,291705868.8,303613987.2,289763812,-7.04
328,2015/8/25,10212.472,10529.923,10197.937,10168.416,218746752,-772.353,-7.04,11723.102,12483.142,12581.172,257648236.8,290305673.6,281985597.6,-2.92
327,2015/8/26,10199.896,10559.241,9899.719,9776.21,326727168,-298.218,-2.92,11110.914,12161.404,12435.004,256643961.6,294467011.2,283497517.6,3.58
326,2015/8/27,10076.092,10254.349,10254.349,9713.986,271961856,354.63,3.58,10644.868,11847.321,12327.925,254285184,292956950.4,282122684,5.32
325,2015/8/28,10397.966,10826.191,10799.996,10311.368,315988576,545.647,5.32,10424.458,11582.733,12249.212,265450742.4,291876291.2,286162536.8,-2.32
324,2015/8/31,10706.227,10706.227,10549.163,10398.33,266702560,-250.833,-2.32,10340.233,11280.259,12168.592,280025382.4,285865625.6,287310811.2,-3.67
323,2015/9/1,10388.498,10388.498,10162.516,9954.577,246291456,-386.647,-3.67,10333.149,11028.125,12041.14,285534323.2,271591280,286545348.8,-1.06
322,2015/9/2,9694.477,10319.485,10054.801,9682.708,259173728,-107.715,-1.06,10364.165,10737.539,11917.645,272023635.2,264333798.4,285946496,-0.63
321,2015/9/7,10121.829,10404.223,9991.764,9933.541,228540560,-63.037,-0.63,10311.648,10478.258,11796.141,263339376,258812280,287262065.6,3.29
320,2015/9/8,9898.635,10341.304,10320.226,9763.949,200427440,328.462,3.29,10215.694,10320.076,11674.5,240227148.8,252838945.6,284689035.2,2.91
319,2015/9/9,10367.348,10702.183,10620.133,10335.022,311925920,299.907,2.91,10229.888,10285.06,11540.358,249271820.8,264648601.6,284131294.4,-1.84
318,2015/9/10,10449.926,10618.869,10424.654,10406.021,225314176,-195.479,-1.84,10282.316,10307.732,11395.437,245076364.8,265305344,277805508.8,0.37
317,2015/9/11,10408.407,10555.62,10463.692,10332.411,190465088,39.038,0.37,10364.094,10364.129,11262.766,231334636.8,251679136,273073073.6,-6.55
316,2015/9/14,10517.684,10544.281,9778.234,9739.421,240882720,-685.458,-6.55,10321.388,10316.518,11081.919,233803068.8,248571222.4,270764086.4,-4.99
315,2015/9/15,9533.45,9719.662,9290.807,9259.648,198214448,-487.427,-4.99,10115.504,10165.599,10874.166,233360470.4,236793809.6,264335050.4,6.45
314,2015/9/16,9330.755,9933.83,9890.429,9297.198,234801008,599.622,6.45,9969.563,10099.726,10689.992,217935488,233603654.4,259734640,-1.52
313,2015/9/17,9872.041,10147.175,9739.89,9739.89,273715616,-150.539,-1.52,9832.61,10057.463,10542.794,227615776,236346070.4,253968675.2,1.14
312,2015/9/18,9806.716,9914.585,9850.772,9691.064,187680992,110.882,1.14,9710.026,10037.06,10387.3,227058956.8,229196796.8,246765297.6,3.31
311,2015/9/21,9732.122,10176.727,10176.727,9701.325,227167856,325.955,3.31,9789.725,10055.556,10266.907,224315984,229059526.4,243935903.2,0.61
310,2015/9/22,10200.547,10357.417,10238.686,10121.741,263897888,61.959,0.61,9979.301,10047.402,10183.739,237452672,235406571.2,244122758.4,-1.04
309,2015/9/23,10071.333,10250.453,10132.295,10040.948,231844016,-106.391,-1.04,10027.674,9998.619,10141.839,236861273.6,227398380.8,246023491.2,1.04
308,2015/9/24,10178.098,10288.184,10238.038,10124.128,221491616,105.743,1.04,10127.304,9979.957,10143.845,226416473.6,227016124.8,246160734.4,-3.25
307,2015/9/25,10184.88,10249.242,9904.764,9835.842,226740128,-333.274,-3.25,10138.102,9924.064,10144.097,234228300.8,230643628.8,241161382.4,2.13
306,2015/9/28,9919.562,10124.313,10115.547,9796.929,164021024,210.783,2.13,10125.866,9957.796,10137.157,221598934.4,222957459.2,235764340.8,-1.64
305,2015/9/29,9962.581,10070.254,9949.918,9873.781,174480896,-165.629,-1.64,10068.112,10023.707,10094.653,203715536,220584104,228688956.8,0.39
